Date,Open,High,Low,Close,Volume,Net Turnover,Market Cap
2017-09-14,384.83,387.39,378.62,379.45,12065467,4613369.34,534372.31
2017-09-15,378.62,383.5,375.36,378.53,29072064,11007221.76,533074.19
2017-09-18,382.22,382.69,379.11,380.22,5146376,1960493.7,535448.88
2017-09-19,381.63,381.66,376.37,377.09,7847364,2963055.87,531047.75
2017-09-20,384.96,392.33,380.01,380.94,25358484,9759876.1,536462.06
2017-09-21,380.87,382.98,376.03,378.33,13166420,4983709.7,532789.19
2017-09-22,377.68,377.68,365.67,367.56,12499022,4635015.68,517622.75
2017-09-25,366.48,372.3,362.07,369.42,14466831,5321937.92,520250.75
2017-09-26,369.49,371.9,365.22,368.77,10740242,3956299.26,519332.53
2017-09-27,371.25,371.29,357.71,359.35,18756387,6796763.65,506065.84
2017-09-28,359.58,361.04,350.83,353.64,30040164,10666241.02,498023.5
2017-09-29,356.02,356.77,350.34,351.15,16944025,5984977.41,494508.94
2017-10-03,357.49,361.47,353.15,358.99,18651561,6691289.09,505578.19
2017-10-04,359.37,370.95,357.76,368.21,19222790,7016116.74,518560.41
2017-10-05,370.98,372.53,368.12,370.59,10808976,4001818.88,521916.78
2017-10-06,370.53,377.43,369.9,376.39,13214352,4946321.41,530086.06
2017-10-09,377.27,377.63,372.32,373.52,8997940,3367411.71,526033.06
2017-10-10,373.67,381.0,373.67,379.16,14977599,5672427.52,533980.75
2017-10-11,380.1,385.99,375.92,377.79,15677698,5984845.82,532049.25
2017-10-12,378.67,394.27,378.67,392.45,18953709,7329142.27,552694.13
2017-10-13,395.39,400.52,392.72,394.11,21868256,8657585.15,555037.25
2017-10-16,395.26,401.1,387.3,394.27,32542796,12835078.14,555258.94
2017-10-17,394.81,397.51,389.95,393.17,14130530,5558696.96,553707.38
2017-10-18,394.54,412.75,393.46,411.22,37283241,15123275.78,579133.5
2017-10-19,411.81,414.55,406.05,409.15,8148369,3352403.2,576220.44
2017-10-23,410.5,424.8,408.79,422.58,27912985,11677979.65,595149.81
2017-10-24,426.15,426.15,417.38,420.1,14088775,5934642.18,591666.63
2017-10-25,422.73,425.34,417.97,422.64,10178673,4291419.65,595244.81
2017-10-26,422.69,430.69,418.64,426.02,17120763,7264043.01,599994.63
2017-10-27,427.18,430.2,416.26,418.12,11690221,4921139.2,588880.06
2017-10-30,419.99,425.18,418.46,423.81,7953673,3359929.86,596891.44
2017-10-31,424.91,425.27,419.18,423.07,9663429,4077373.44,595846.44
2017-11-01,426.17,430.69,425.27,428.33,17864276,7650355.71,603256.13
2017-11-02,428.44,430.11,424.6,425.66,10449002,4466520.06,599488.0
2017-11-03,429.86,429.86,422.75,425.07,4878526,2073948.03,598664.69
2017-11-06,423.81,423.81,417.74,419.32,9920148,4172898.82,590558.38
2017-11-07,419.7,420.44,406.07,407.71,20788423,8511591.94,574219.06
2017-11-08,405.83,407.4,397.55,399.21,18048722,7238759.42,562249.56
2017-11-09,402.34,409.15,401.13,404.93,15257386,6188163.07,570292.56
2017-11-10,405.13,405.13,395.35,397.44,14155192,5644664.32,559748.0
2017-11-13,397.96,401.06,392.78,393.57,9240121,3652510.72,554301.56
2017-11-14,393.46,402.45,392.56,398.72,12689522,5055092.22,561552.94
2017-11-15,397.73,400.47,394.79,397.37,15526636,6175040.0,559653.0
2017-11-16,398.18,407.4,398.18,406.43,15413589,6238352.38,572414.13
2017-11-17,413.22,415.9,408.52,410.05,12422964,5118671.87,577512.25
2017-11-20,407.49,415.65,406.95,414.08,9385074,3868228.35,583180.31
2017-11-21,416.75,422.53,416.17,419.34,13300320,5587246.59,590590.0
2017-11-22,421.54,422.08,415.25,418.53,11242651,4702768.64,589490.81
2017-11-23,418.64,427.14,416.68,425.84,16298877,6891873.79,599782.75
2017-11-24,427.18,431.46,426.02,427.68,14220282,6091020.29,602379.5
2017-11-27,425.95,430.56,424.49,427.79,10407783,4444267.01,602537.88
2017-11-28,427.12,427.79,421.83,424.19,10322874,4382634.5,597471.06
2017-11-29,423.52,427.18,423.14,425.39,8172346,3479372.03,599149.44
2017-11-30,423.34,423.34,413.47,414.39,20981787,8733894.66,583664.0
2017-12-01,415.7,418.75,408.16,409.24,11300247,4665846.78,576412.19
2017-12-04,410.77,410.91,403.51,405.42,10271623,4170229.76,571028.69
2017-12-05,405.17,414.03,402.65,410.86,18611788,7631456.26,578692.25
2017-12-06,409.2,418.33,408.66,416.68,24479449,10161403.9,586894.13
2017-12-07,418.21,420.89,415.04,418.89,12296923,5135253.5,589997.5
2017-12-08,419.92,421.32,413.27,414.14,12427955,5172651.52,583315.69
